formula, good_instruction, is_taut, num_of_nodes, num_of_branches
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{44}{5111}{11555555}{3333333333333333}}, False, 75, 13
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{44}{5115}{11555511}{3333333333333333}}, False, 75, 13
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{44}{5151}{11551155}{3333333333333333}}, False, 75, 13
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{44}{5155}{11551111}{3333333333333333}}, False, 75, 13
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{45}{5144}{11551111}{3333333333333333}}, False, 71, 12
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{45}{5141}{11551144}{3333333333333333}}, False, 57, 10
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{45}{5114}{11554411}{3333333333333333}}, False, 71, 12
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{45}{5111}{11554444}{3333333333333333}}, False, 57, 10
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{41}{5544}{11115555}{3333333333333333}}, False, 65, 12
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{41}{5545}{11115544}{3333333333333333}}, False, 65, 12
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{41}{5554}{11114455}{3333333333333333}}, False, 57, 10
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{41}{5555}{11114444}{3333333333333333}}, False, 57, 10
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{44}{5511}{11115555}{3333333333333333}}, False, 75, 13
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{44}{5515}{11115511}{3333333333333333}}, False, 75, 13
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{44}{5551}{11111155}{3333333333333333}}, False, 75, 13
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{44}{5555}{11111111}{3333333333333333}}, False, 75, 13
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{45}{5544}{11111111}{3333333333333333}}, False, 71, 12
